movieID	tagID	tagWeight
1	7	1
1	13	3
1	25	3
1	55	3
1	60	1
1	146	1
1	326	10
1	351	1
1	362	1
1	382	2
1	459	2
1	465	17
1	501	1
1	528	1
1	605	2
1	672	1
1	752	2
1	819	1
1	896	2
1	900	9
1	1290	1
1	1925	1
1	2049	1
1	2119	5
1	2293	4
1	2481	1
1	4339	1
1	4342	1
1	4924	1
1	5289	1
1	6323	1
1	6535	1
1	6675	1
1	7705	1
1	10376	1
1	10420	1
1	10422	1
1	11344	1
1	11477	1
1	14562	1
1	15045	1
1	15123	1
1	15170	1
2	13	2
2	117	3
2	146	3
2	413	1
2	438	2
2	488	8
2	742	1
2	1224	1
2	1843	1
2	1944	1
2	2057	3
2	2381	1
2	2732	1
2	5045	1
2	9621	1
2	10382	1
2	10654	1
2	14371	1
3	380	1
3	2724	1
3	3196	1
3	3242	1
3	7444	2
3	13668	1
5	125	1
5	747	1
5	752	2
5	1646	2
5	2724	1
5	4294	2
5	4946	2
5	4953	1
6	351	1
6	528	1
6	587	1
6	638	1
6	662	1
6	675	2
6	1149	1
6	1218	1
6	1277	2
6	1974	1
6	2393	1
6	2538	1
6	3008	2
6	3013	1
6	4446	1
6	5032	1
6	6323	1
6	6800	1
6	6988	1
6	7052	1
6	8891	1
6	8982	1
6	13128	1
6	15248	1
7	415	3
7	747	5
7	1222	1
7	1260	1
7	1608	1
7	2983	1
7	5614	1
7	8994	1
7	9479	1
7	9679	1
7	11630	2
8	1224	1
8	9074	1
9	1277	1
9	7891	1
10	74	1
10	110	1
10	125	1
10	161	1
10	459	1
10	485	12
10	634	1
10	651	1
10	657	3
10	977	1
10	1023	1
10	1515	1
10	1783	1
10	2577	1
10	5843	1
10	6800	1
10	9015	1
10	9816	1
10	15227	1
11	587	1
11	651	1
11	689	2
11	779	3
11	780	1
11	892	1
11	901	1
11	6401	1
11	7179	1
11	8453	1
11	8476	1
11	10494	1
12	42	1
12	62	1
12	944	1
12	1452	1
13	7751	1
14	102	2
14	499	1
14	689	1
14	779	2
14	1188	1
14	1482	1
14	2462	2
14	2955	1
14	5534	1
14	8453	1
14	10422	1
14	15230	1
15	136	2
15	4617	1
16	77	1
16	214	5
16	251	1
16	258	1
16	310	8
16	351	1
16	353	1
16	521	1
16	587	1
16	595	1
16	638	1
16	644	1
16	711	1
16	1061	2
16	1504	1
16	4446	1
16	4481	1
16	5055	1
16	6324	1
16	6594	1
16	6800	1
16	8418	2
16	8889	1
16	15230	1
17	292	1
17	369	1
17	587	1
17	605	1
17	643	1
17	1061	4
17	1222	2
17	1224	1
17	1320	1
17	2158	2
17	2260	2
17	2364	1
17	5145	1
17	5301	2
17	5617	1
17	6679	2
17	7669	1
17	9926	1
17	13407	1
18	93	2
18	312	2
18	449	2
18	629	1
18	2241	5
18	2955	1
18	10422	1
19	55	1
19	364	7
19	1427	1
19	14382	1
20	2067	1
20	2261	1
20	2938	1
21	34	1
21	53	1
21	214	2
21	582	1
21	678	3
21	2731	1
21	2733	2
21	5055	1
21	9610	2
21	10746	1
22	54	5
23	2261	1
23	6324	1
24	386	1
24	582	1
24	1277	1
24	1582	1
24	3024	1
24	4731	1
24	5556	1
24	5565	1
24	7809	2
24	11448	1
25	93	1
25	219	2
25	418	4
25	506	1
25	587	2
25	610	1
25	625	1
25	1153	1
25	1159	1
25	1422	2
25	2538	1
25	4491	1
25	4731	1
25	5021	1
25	6635	1
25	6669	1
25	8583	1
25	11448	1
26	93	1
26	1320	6
26	4401	1
26	5614	1
26	9002	1
26	9298	1
26	9408	1
28	387	1
28	730	1
28	1061	1
28	4818	1
28	6709	1
28	11619	1
29	24	5
29	64	7
29	352	1
29	366	1
29	553	2
29	669	1
29	1085	1
29	1149	2
29	1382	1
29	1616	1
29	1925	1
29	2082	2
29	2538	1
29	2597	1
29	2614	2
29	4446	1
29	4740	3
29	4746	1
29	4856	1
29	6111	1
29	7392	1
29	8367	1
29	11477	2
29	12107	1
29	12794	1
31	473	1
31	587	1
31	910	2
31	1925	1
31	2261	1
31	2955	1
31	5035	1
31	9762	1
31	10304	1
32	13	28
32	24	5
32	161	1
32	235	4
32	296	7
32	351	1
32	366	4
32	379	1
32	386	4
32	397	2
32	419	1
32	459	1
32	473	1
32	502	5
32	582	1
32	605	1
32	610	1
32	611	1
32	615	1
32	635	5
32	727	2
32	747	3
32	750	2
32	754	13
32	838	1
32	1089	1
32	1106	1
32	1184	10
32	1218	1
32	1304	2
32	2403	1
32	2581	1
32	2671	1
32	2953	1
32	4080	1
32	5035	1
32	5505	1
32	5704	1
32	5742	1
32	5757	1
32	6324	1
32	6521	1
32	6800	1
32	6897	1
32	7420	1
32	8096	1
32	8343	1
32	9142	1
32	9847	1
32	13419	1
32	15912	1
34	117	2
34	369	1
34	459	1
34	915	1
34	1809	4
34	1876	2
34	2647	2
34	2955	1
34	3470	1
34	5919	1
34	6515	1
34	6899	1
34	7158	2
34	7179	1
34	9327	1
34	9419	1
35	353	1
35	2158	1
35	11037	1
35	11468	1
35	14510	1
35	16073	1
36	172	5
36	213	1
36	473	1
36	633	2
36	762	3
36	1023	1
36	1061	1
36	1277	1
36	1647	6
36	1911	1
36	2467	1
36	2473	1
36	2481	1
36	2596	2
36	2600	1
36	4112	1
36	4114	1
36	4125	1
36	4507	1
36	5055	1
36	7804	1
36	8142	1
36	10173	1
36	14511	1
36	14562	1
38	8481	1
39	415	2
39	605	1
39	651	1
39	730	1
39	892	1
39	910	2
39	1222	1
39	1224	1
39	1253	1
39	1450	3
39	1680	1
39	4666	1
39	5264	1
39	7669	2
39	10764	1
39	14035	1
40	387	1
40	2745	1
40	4560	1
41	1320	2
41	1472	1
41	4666	1
41	5151	1
41	5614	1
41	9002	1
41	9298	1
42	1765	1
42	6594	1
43	93	1
43	143	1
43	5711	1
44	655	4
