userID	movieID	tagID	date_day	date_month	date_year	date_hour	date_minute	date_second
75	353	5290	29	10	2006	23	20	15
78	4223	5264	16	4	2007	4	43	45
127	1343	1544	28	8	2007	3	42	27
127	1343	12330	28	8	2007	3	42	27
127	2080	1451	28	8	2007	3	42	47
127	2080	1574	28	8	2007	3	42	47
127	2953	4121	28	8	2007	3	45	44
127	2953	11860	28	8	2007	3	45	44
127	4270	914	28	8	2007	3	45	9
127	4270	5215	28	8	2007	3	45	9
127	4447	7	28	8	2007	3	44	23
127	4447	1996	28	8	2007	3	44	23
127	4447	2571	28	8	2007	3	44	23
127	5679	742	28	8	2007	3	44	7
127	6934	1537	28	8	2007	3	43	57
127	6934	1538	28	8	2007	3	43	57
127	6934	9062	28	8	2007	3	43	57
127	7147	146	28	8	2007	3	43	28
127	7147	150	28	8	2007	3	43	28
127	7147	1878	28	8	2007	3	43	28
127	7147	2596	28	8	2007	3	43	28
127	7147	13087	28	8	2007	3	43	28
127	8622	55	28	8	2007	3	44	57
127	8622	11371	28	8	2007	3	44	57
127	8622	13086	28	8	2007	3	44	57
170	47830	93	30	10	2006	12	52	56
175	2819	11407	30	8	2007	4	37	0
175	51540	79	21	10	2007	20	8	53
190	741	712	30	6	2006	22	41	47
190	1274	712	30	6	2006	22	42	19
190	2116	410	15	2	2006	21	59	29
190	2810	712	30	6	2006	22	42	5
190	3000	712	30	6	2006	22	39	5
190	3997	410	15	2	2006	20	33	50
190	4993	410	15	2	2006	21	57	36
190	5039	410	15	2	2006	20	33	42
190	5069	712	30	6	2006	22	40	15
190	5072	712	16	4	2008	19	1	0
190	5146	712	30	6	2006	22	39	46
190	5618	712	30	6	2006	22	39	11
190	5690	712	30	6	2006	22	40	35
190	5952	410	15	2	2006	21	57	48
190	5971	712	30	6	2006	22	39	38
190	6283	712	30	6	2006	22	40	10
190	6350	712	30	6	2006	22	40	2
190	6857	712	30	6	2006	22	42	8
190	7099	712	30	6	2006	22	39	19
190	7153	410	15	2	2006	20	32	34
190	8607	712	30	6	2006	22	42	14
190	26662	712	30	6	2006	22	41	51
190	27728	712	16	4	2008	19	0	36
190	31184	712	16	4	2008	19	0	5
190	31658	712	30	6	2006	22	39	29
190	31660	712	30	6	2006	22	40	26
267	6365	186	10	10	2007	22	53	54
325	628	6331	1	3	2007	11	6	11
325	30818	5074	29	7	2007	0	55	27
325	34162	6333	11	6	2006	4	58	58
325	45720	6333	1	3	2007	10	55	42
325	51084	876	1	3	2007	10	56	20
383	6270	280	24	12	2007	7	37	48
383	6270	669	24	12	2007	7	38	18
383	27741	7181	25	10	2006	5	25	2
383	45175	753	25	10	2006	5	26	6
476	1136	1181	15	2	2006	1	23	25
477	1188	5609	28	8	2007	16	32	40
477	1188	5610	28	8	2007	16	32	40
477	1267	5588	28	8	2007	16	30	56
477	1267	5593	28	8	2007	16	30	56
477	1274	5611	28	8	2007	16	46	20
477	1597	5599	28	8	2007	16	30	2
477	1608	5597	28	8	2007	16	45	36
477	1690	5031	28	8	2007	16	29	52
477	1918	5582	28	8	2007	16	31	55
477	2023	5583	28	8	2007	16	30	17
477	2023	5590	28	8	2007	16	30	17
477	2947	5595	28	8	2007	16	30	28
477	3755	5581	28	8	2007	16	31	37
477	3755	5591	28	8	2007	16	31	37
477	4262	5586	28	8	2007	16	35	42
477	4310	5603	28	8	2007	16	35	21
477	5618	5608	28	8	2007	16	36	3
477	5679	5580	28	8	2007	16	33	53
477	6934	5584	28	8	2007	16	33	45
477	7147	5598	28	8	2007	16	33	5
477	7147	5602	28	8	2007	16	33	22
477	8977	5596	28	8	2007	16	47	2
477	32587	5601	28	8	2007	16	34	16
477	32587	5612	28	8	2007	16	34	16
477	48774	5585	28	8	2007	17	2	4
477	54001	5589	28	8	2007	16	50	48
493	3683	289	13	8	2008	21	17	26
498	1244	5879	28	8	2007	17	47	12
498	1297	615	28	8	2007	17	43	29
498	1297	1510	28	8	2007	17	43	29
498	1297	5875	28	8	2007	17	43	29
498	1297	5877	28	8	2007	17	43	29
498	1297	5883	28	8	2007	17	43	29
498	3814	61	28	8	2007	17	45	30
498	3814	701	28	8	2007	17	45	31
498	3814	5872	28	8	2007	17	45	31
498	3814	5880	28	8	2007	17	45	31
498	3814	5884	28	8	2007	17	45	30
498	4848	4936	28	8	2007	17	38	39
498	4848	4989	28	8	2007	17	38	39
498	5618	5876	28	8	2007	17	39	5
498	6346	1858	28	8	2007	17	57	17
498	6346	4568	28	8	2007	17	57	17
498	6346	5873	28	8	2007	17	57	17
498	6346	5874	28	8	2007	17	57	17
498	6346	5881	28	8	2007	17	57	17
498	6346	5882	28	8	2007	17	57	17
498	6378	104	28	8	2007	17	38	0
498	6378	5878	28	8	2007	17	38	0
533	1950	51	28	2	2007	21	29	18
533	7566	51	28	2	2007	21	23	34
533	27834	51	28	2	2007	21	14	43
533	33154	51	28	2	2007	21	27	39
533	44555	48	28	2	2007	21	20	30
533	44937	51	28	2	2007	21	27	13
533	45210	51	28	2	2007	21	26	1
533	48043	48	28	2	2007	21	26	50
533	49132	51	28	2	2007	21	22	16
533	51077	49	28	2	2007	21	10	20
533	51077	50	28	2	2007	21	10	13
545	2797	368	31	10	2006	22	48	26
548	296	371	28	8	2007	19	38	29
580	370	594	1	11	2006	10	41	38
580	3623	591	1	11	2006	10	41	50
580	7153	592	1	11	2006	10	41	57
580	48322	593	1	11	2006	10	33	13
622	32	13	8	7	2008	13	2	57
622	32	754	8	7	2008	13	2	56
622	32	1184	8	7	2008	13	2	55
622	47	54	8	7	2008	13	3	34
622	47	754	8	7	2008	13	3	32
622	165	74	8	7	2008	13	3	44
622	165	371	8	7	2008	13	3	47
622	165	1184	8	7	2008	13	3	46
622	231	195	8	7	2008	13	4	23
622	231	364	8	7	2008	13	4	19
622	231	10541	8	7	2008	13	4	22
622	377	472	8	7	2008	13	3	5
622	377	3137	8	7	2008	13	3	8
622	442	24	13	7	2008	3	41	9
622	442	480	13	7	2008	3	41	10
622	442	2621	13	7	2008	3	41	8
622	593	1188	8	7	2008	4	42	38
622	628	53	8	7	2008	13	1	4
622	628	97	8	7	2008	13	1	6
622	628	473	8	7	2008	13	1	7
622	780	74	8	7	2008	13	2	30
622	780	167	8	7	2008	13	2	28
622	780	1194	8	7	2008	13	2	36
622	780	5209	8	7	2008	13	2	31
622	1073	605	8	7	2008	13	4	57
622	1073	1061	8	7	2008	13	4	56
622	1073	5487	8	7	2008	13	4	54
622	1101	148	13	7	2008	3	40	53
622	1101	191	13	7	2008	3	40	57
622	1206	1459	8	7	2008	4	22	28
622	1206	5135	8	7	2008	4	22	28
622	1208	64	8	7	2008	4	32	29
622	1208	193	8	7	2008	4	32	44
622	1208	238	8	7	2008	4	32	35
622	1208	459	8	7	2008	4	32	42
622	1208	473	8	7	2008	4	32	26
622	1208	605	8	7	2008	4	32	36
622	1208	1065	8	7	2008	4	32	32
622	1208	14496	8	7	2008	4	32	47
622	1210	145	8	7	2008	13	2	44
622	1210	146	8	7	2008	13	2	46
622	1210	366	8	7	2008	13	2	45
622	1240	13	8	7	2008	13	4	44
622	1240	366	8	7	2008	13	4	46
622	1240	1186	8	7	2008	13	4	43
622	1391	337	13	7	2008	3	41	28
622	1391	1470	13	7	2008	3	41	30
622	1391	5209	13	7	2008	3	41	31
622	1527	1184	8	7	2008	12	54	8
622	1653	24	13	7	2008	3	41	53
622	1653	197	13	7	2008	3	41	56
622	1653	366	13	7	2008	3	41	55
622	1653	2399	13	7	2008	3	42	6
622	1704	770	8	7	2008	4	27	44
622	1704	14318	8	7	2008	4	27	44
622	1704	15538	8	7	2008	4	27	44
622	1961	219	13	7	2008	3	40	24
622	1961	247	13	7	2008	3	40	25
622	1961	1545	13	7	2008	3	40	22
622	2762	80	8	7	2008	13	4	7
622	2762	502	8	7	2008	13	4	8
622	2762	1184	8	7	2008	13	4	10
622	2858	99	8	7	2008	13	3	22
622	2858	232	8	7	2008	13	3	23
622	2959	97	9	7	2008	1	53	1
622	4963	770	9	7	2008	12	59	11
622	5630	1188	8	7	2008	12	49	12
622	5989	382	8	7	2008	13	0	49
622	5989	1064	8	7	2008	13	0	48
622	6250	184	8	7	2008	4	26	1
622	6250	586	8	7	2008	4	26	1
622	6250	5209	8	7	2008	4	26	1
622	6753	586	8	7	2008	4	23	17
622	6753	1459	8	7	2008	4	23	17
622	8132	583	8	7	2008	13	0	22
622	8132	13597	8	7	2008	13	0	20
622	32587	7009	8	7	2008	13	0	7
622	36529	418	8	7	2008	12	57	17
622	39444	50	9	7	2008	12	58	38
622	44191	586	8	7	2008	4	29	8
622	44191	1459	8	7	2008	4	29	8
622	44191	4698	8	7	2008	4	29	8
622	44665	502	8	7	2008	12	58	59
622	44665	541	8	7	2008	12	58	54
622	44665	1184	8	7	2008	12	58	58
622	47610	502	8	7	2008	13	0	33
622	47610	1610	8	7	2008	13	0	35
622	48043	586	8	7	2008	12	55	0
622	48043	619	8	7	2008	12	55	0
622	48043	1459	8	7	2008	12	55	20
622	48043	15573	8	7	2008	12	55	8
622	48043	15575	8	7	2008	12	55	0
622	51931	586	8	7	2008	12	58	1
622	51931	717	8	7	2008	12	58	1
622	51931	1459	8	7	2008	12	58	1
622	53129	2585	8	7	2008	12	48	32
622	53129	13237	8	7	2008	12	48	39
622	54745	398	8	7	2008	12	59	32
622	54745	1328	8	7	2008	12	59	29
622	54745	1358	8	7	2008	12	59	31
622	55872	586	8	7	2008	4	28	25
622	55872	1459	8	7	2008	4	28	25
622	55872	4698	8	7	2008	4	28	25
622	55908	1459	8	7	2008	4	21	53
622	55908	4698	8	7	2008	4	21	53
622	56171	15574	8	7	2008	4	24	29
622	56171	15576	8	7	2008	4	24	42
622	58025	371	8	7	2008	12	56	21
622	58078	586	8	7	2008	4	45	6
622	58078	717	8	7	2008	4	45	6
622	58078	1459	8	7	2008	4	45	6
622	58078	4698	8	7	2008	4	45	5
622	58078	8126	8	7	2008	4	45	5
622	58078	12650	8	7	2008	4	45	6
622	58972	2732	8	7	2008	4	24	0
622	58972	4167	8	7	2008	4	23	52
622	59615	2585	8	7	2008	4	30	7
622	59900	4861	8	7	2008	4	31	25
622	60072	746	8	7	2008	4	30	28
622	60072	2341	8	7	2008	4	30	28
622	60072	2585	8	7	2008	4	30	18
622	60074	1194	8	7	2008	4	31	8
622	60074	2585	8	7	2008	4	31	1
636	1223	1727	15	1	2006	22	20	55
636	1223	11005	15	1	2006	22	20	40
636	1223	11023	15	1	2006	22	20	40
636	1223	11029	15	1	2006	22	20	40
636	1223	11157	15	1	2006	22	20	40
636	1223	13141	15	1	2006	22	20	40
636	1233	1761	15	1	2006	22	16	26
636	1233	7205	15	1	2006	22	16	26
636	1233	15972	15	1	2006	22	16	26
636	1876	1259	13	1	2006	18	40	30
636	1876	13141	13	1	2006	18	40	30
636	1876	15970	13	1	2006	18	40	30
636	1876	15975	13	1	2006	18	40	30
636	1876	15976	13	1	2006	18	40	30
636	2993	485	15	1	2006	22	23	57
636	2993	2611	15	1	2006	22	23	57
636	2993	7808	15	1	2006	22	23	57
636	2993	15974	15	1	2006	22	23	57
636	4993	412	15	1	2006	22	17	44
637	4886	15968	10	1	2007	15	26	53
728	26	1320	29	8	2007	15	14	36
728	419	14146	29	8	2007	15	11	52
728	2409	3	29	8	2007	15	11	32
728	2409	226	29	8	2007	15	11	32
728	2409	14143	29	8	2007	15	11	32
728	2412	3	29	8	2007	15	14	20
728	2412	226	29	8	2007	15	14	19
728	2863	328	29	8	2007	15	12	10
728	3668	1320	29	8	2007	15	15	23
728	3979	4861	29	8	2007	15	15	54
728	6016	69	29	8	2007	15	10	25
