AGREEMENT_RK,TARGET
13408,0.373175479828
6132,0.600006703763
10826,0.896451362586
7154,0.430414660809
1617,0.545925727462
9570,0.454884765131
8659,0.524400971887
8644,0.733258016295
12646,0.241737211314
5983,0.663208941895
7508,0.670085269591
9867,0.35248489027
5342,0.396185074535
10669,0.419951592855
5483,0.697493617367
4833,0.157642110203
4107,0.679389245222
359,0.883214989784
3213,0.35574279817
6956,0.652418329835
5403,0.189775587917
12119,0.512048328496
10581,0.489862413171
3446,0.552248948054
3877,0.0104318899372
3906,0.910184522162
7717,0.219940538412
5223,0.0762663942265
13866,0.57887890564
9575,0.857626149175
9500,0.913562869461
11365,0.85613099487
8091,0.590836174222
7482,0.682228854241
5803,0.821940889796
532,0.143420789109
5700,0.067092395
9610,0.287283416143
12717,0.668747645282
7312,0.375130164891
2074,0.903092589936
7894,0.3612832807
8229,0.568117170754
14327,0.073381584277
10124,0.738369621182
14078,0.308827574068
4616,0.0709306473005
2933,0.337479734794
8513,0.883346065907
11680,0.674753413596
10231,0.223155494196
10203,0.262558120108
8199,0.478403504548
3971,0.632869781459
3832,0.999172958438
12576,0.719101691016
3854,0.741481183017
13889,0.995427982361
9520,0.622886901715
9798,0.759566003533
3502,0.350842448535
7728,0.146114446595
8180,0.853764651578
2028,0.180001506247
7985,0.227327646735
10911,0.694072046089
14368,0.69735810631
1673,0.047729439447
830,0.50341610057
11932,0.688294975138
9486,0.969753199674
1675,0.0796484144441
4385,0.720735716458
2745,0.232944106626
9957,0.667758284446
5829,0.281644577322
2230,0.0929663841326
12138,0.22937798413
6711,0.716287086998
11452,0.09944170212
6760,0.56789688848
1078,0.0315295819432
6015,0.372248019657
2049,0.710413794009
7738,0.331492148633
138,0.328687776874
10592,0.762904185626
1156,0.0814405882457
10052,0.911199541927
11218,0.403021869511
7909,0.524180355425
14649,0.162395457586
2195,0.513620127677
12409,0.613581733754
13452,0.114124329398
6524,0.639320554706
2236,0.64016854438
5894,0.743985679707
8719,0.746529639861
13309,0.26941339873
13155,0.0690881754729
1226,0.904352216944
8803,0.904479917385
13166,0.0975362459127
8494,0.379699506884
11876,0.780817015533
3581,0.951683709043
8210,0.943556505505
9407,0.290175492202
4190,0.203621139979
4345,0.253885230394
11761,0.596434407058
3376,0.541512322408
9817,0.383030064114
2988,0.670450798215
8164,0.451895043979
7859,0.454443053445
1321,0.519945444742
7558,0.987264490382
2170,0.281571695894
8968,0.14112556199
8295,0.90339807372
1326,0.772233086565
9713,0.213850978809
343,0.29346782381
3573,0.995491616049
14811,0.084105065986
3007,0.389889574589
7551,0.54992170851
10912,0.408113840371
6415,0.567518471206
14237,0.270062822996
1780,0.080393379124
11408,0.0704377024277
13764,0.8996484988
5347,0.541791304859
8450,0.853629367628
14131,0.109635462269
1608,0.629640275428
12159,0.630776053504
3151,0.0124320211912
8842,0.184574390247
2035,0.648931369153
4234,0.73472426352
9417,0.507367128482
2894,0.855001563902
8488,0.78786473076
9920,0.00039311305598
583,0.647076615062
7752,0.251797744833
1701,0.505455003811
2380,0.373144469293
10937,0.733796967135
4344,0.399339136187
