49;0;0;0;2;1;0;0;0;0;0;0;0;3;5000;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;8000;6;8650;0;1;220;18;0;0;1;1;1;6;2;1;1580;1580;NaN
32;0;0;0;3;3;1;0;0;0;1;0;1;3;12000;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;21650;6;4000;0;1;137;97;1;0;1;1;1;6;1;1;4020;4020;NaN
52;0;0;0;4;0;2;0;1;1;2;0;1;3;9000;2;2;2;2;2;1;1;1;1;1;0;0;0;1;0;0;0;33126;12;4000;0;1;251;84;0;0;1;2;1;11;0;0;0;0;NaN
39;0;0;0;1;1;3;0;2;2;2;0;1;4;25000;3;3;3;3;1;0;1;0;0;1;1;0;0;0;0;0;0;8491,82;6;5000;0;0;36;168;1;1;1;1;1;6;3;1;1589,923333;1590;NaN
30;0;0;1;0;0;1;0;3;1;2;0;1;3;12000;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;21990;12;4000;0;1;83;101;1;0;1;2;1;16;2;1;1152,15;2230;NaN
29;0;0;1;0;0;1;1;0;1;0;0;2;4;12000;4;4;4;4;3;1;1;1;1;1;0;1;0;0;0;0;0;30615;12;3500;0;0;108;40;1;0;1;2;1;11;0;0;0;0;NaN
35;0;0;1;1;1;3;2;4;1;2;0;1;4;15000;5;5;5;5;4;1;1;1;1;1;1;0;0;0;0;0;0;10450;3;15000;0;1;48;6;0;0;1;2;2;14;0;0;0;0;NaN
41;0;0;0;0;0;1;0;5;0;0;0;1;3;6000;6;6;6;6;1;1;1;1;1;1;1;0;0;0;0;0;0;15035;10;465;0;1;204;6;1;1;1;2;1;11;0;0;0;0;NaN
53;0;0;1;2;0;3;0;6;3;0;0;1;5;100000;7;7;7;7;4;1;1;1;1;1;0;0;0;0;0;0;0;32914,31;4;29080,92;0;0;228;156;1;0;1;1;1;3;0;0;0;0;NaN
43;0;0;0;0;0;0;0;2;1;2;0;1;3;7000;8;8;8;8;1;1;1;1;1;1;1;0;0;0;0;0;0;4440;6;540;0;0;279;72;0;0;1;1;1;6;0;0;0;0;NaN
54;0;0;0;2;0;0;3;2;4;2;0;3;4;19000;9;9;9;9;4;1;1;1;1;1;1;0;0;0;0;0;0;5160;3;600;0;0;240;120;1;0;1;1;1;3;0;0;0;0;NaN
26;0;0;1;0;0;0;3;4;5;2;0;1;3;18000;10;10;10;10;5;1;1;1;1;1;0;0;0;0;0;0;0;11751;4;8389;0;1;49;27;0;0;1;2;1;13;0;0;0;0;NaN
62;1;1;1;3;0;1;1;7;0;0;0;1;3;7000;11;11;11;11;3;1;1;1;1;1;0;1;1;0;0;0;0;11160;3;2790;0;1;324;48;0;0;1;1;1;3;0;0;0;0;NaN
45;0;0;0;3;1;0;2;3;0;2;0;4;3;12000;9;9;9;9;4;1;1;1;1;1;0;0;0;0;0;0;0;5770;9;1020;0;0;72;72;1;0;1;1;1;8;1;1;810;810;NaN
38;0;0;0;0;1;3;0;3;6;2;0;1;4;20000;12;12;12;12;5;1;1;1;1;1;0;0;0;1;0;0;0;14513;5;1462;0;1;89;120;1;0;1;2;1;12;0;0;0;0;NaN
41;0;0;0;0;0;3;2;0;7;1;0;1;5;60000;10;10;10;10;5;1;1;1;1;1;1;0;0;0;0;0;0;79910;5;19990;0;1;5;168;1;0;1;1;1;4;0;0;0;0;NaN
65;1;1;0;2;0;0;0;NaN;NaN;NaN;NaN;NaN;4;10000;13;13;13;13;2;1;1;1;1;1;1;0;0;0;0;0;0;4039;3;500;0;1;191;NaN;1;0;0;1;1;3;0;0;0;0;NaN
29;0;0;0;1;1;0;0;8;0;2;0;1;3;5200;14;14;14;14;6;1;1;1;1;1;0;0;0;0;0;0;1;3400;6;2000;0;1;24;8;0;0;1;1;1;4;0;0;0;0;NaN
34;0;0;1;0;0;1;1;9;0;0;0;1;5;35000;15;15;15;15;5;0;1;0;0;1;0;0;0;0;0;0;0;7290;6;1300;0;1;84;13;1;0;1;1;1;5;1;1;1439,94;1439,94;NaN
28;0;0;0;0;0;3;3;7;1;0;0;1;3;15000;16;16;16;16;7;1;1;1;1;1;0;0;0;0;0;0;0;8918;6;1000;0;1;60;60;1;0;1;1;1;5;0;0;0;0;NaN
37;0;0;0;1;1;3;0;2;1;2;0;1;3;10000;17;17;17;17;3;0;1;0;0;1;1;0;0;0;0;0;0;10342;6;1200;0;0;36;192;0;1;1;1;1;6;0;0;0;0;NaN
42;0;0;0;1;1;0;0;0;1;0;0;1;3;10000;4;4;4;4;3;1;1;1;1;1;0;0;0;1;0;0;0;19857;6;6000;0;1;113;76;1;0;1;1;1;6;0;0;0;0;NaN
