customer_id,gender
75562265,0
10928546,1
69348468,1
84816985,1
61009479,0
74045822,0
27979606,1
54129921,0
23160845,0
44160317,1
45646491,0
36008593,0
48111232,1
37245184,0
82609845,0
60046355,1
96751727,0
83715039,0
67480620,0
67193294,0
92766561,1
74041795,0
19635150,1
24825702,1
5689927,0
13868306,1
17038281,0
1133595,0
34174139,0
46890366,0
402290,0
24553371,0
20505443,0
54096213,1
93914512,0
26159801,0
94069501,0
43869219,0
14409598,1
34247605,0
37141133,0
63929380,0
79414195,1
8619476,0
610375,1
77171868,0
87373794,1
36661620,1
57486854,0
81513101,0
16422350,0
39216943,0
20421046,1
62533123,0
1094663,1
97098016,1
69512175,0
9708480,1
5712129,0
80339866,1
79321784,0
57746497,1
55477562,1
83629946,0
8612909,1
67382369,0
83851361,1
10493682,0
52091338,0
79496375,1
27868636,1
40722638,0
50647057,0
19087930,1
53393963,1
87667031,0
16768663,0
87866237,0
58629398,0
48180760,1
11542491,0
4024330,0
70227980,0
44642438,1
2658384,0
98222191,0
29709918,0
6808459,1
29607953,0
99024172,1
75328477,1
16240272,1
10915793,1
68368659,1
85681838,1
24436367,1
88351231,1
44353987,0
96367039,0
91403118,0
38949486,1
79155704,0
21512738,0
59763029,0
60034294,0
74751262,0
78066879,1
92197764,1
18889791,0
37466831,0
39435977,0
17793655,0
36622596,0
99563406,1
5202939,1
49637214,0
24567813,1
41289285,1
97676287,1
21205194,1
50706604,0
18694042,0
15701539,1
70207491,1
52976855,0
54083546,0
73933347,0
16404236,0
80524003,1
83571433,0
44223937,0
12660882,0
70768141,0
75225096,0
36056980,0
45761613,1
60042933,0
88365698,0
22235271,1
43184017,0
48923266,1
48675742,1
66368134,1
72045112,0
30605495,1
85985640,1
95154029,0
87502549,1
24467923,0
39975016,0
20352442,0
75282650,0
23097908,0
2548573,1
53556576,0
21044517,0
83391046,0
94110803,1
39848739,0
65411135,0
5306200,1
73021118,0
75888217,0
65526075,0
75610771,0
24953128,0
31505410,0
418693,0
39186764,0
33394172,0
51639842,0
73355686,0
83260097,1
69065209,1
76010375,1
33008397,1
615526,1
52787907,0
6794075,0
57643619,1
69711372,1
50167807,1
46449412,0
99911226,0
29766846,0
68018851,0
36881891,1
86985779,0
14331004,1
2889863,0
68334543,1
43030014,1
60545607,0
71188696,0
95891468,1
67087806,0
21947799,0
63030316,1
45728264,1
28209124,0
14100143,1
68449618,1
87110807,0
47862820,0
23910067,0
281727,1
1541259,1
33605846,1
23840539,0
93031933,0
68050945,0
95696045,1
4747261,1
47314303,0
69279297,0
82890368,0
12652859,0
70490446,0
78603934,1
32312405,0
48730144,1
16048969,0
70168817,1
11234608,0
48447048,0
77326951,0
82226539,0
28008761,1
34964311,0
3938989,0
74504524,1
52549295,1
16751713,0
13893103,1
93523674,0
22787448,0
21650358,0
52114084,1
68003889,0
5021691,1
3323243,1
15955193,0
53799749,0
24497218,1
12739123,0
37586404,0
12987697,0
71547641,1
32327379,0
92148250,0
99673663,0
12997681,1
18828201,0
39002460,0
54365767,1
99985917,0
52665452,0
54250589,1
12434084,0
92244512,1
51392158,1
7286014,0
28336912,1
44982602,0
41666340,1
92055019,0
18072028,0
20789093,0
70570397,1
81671241,1
36981135,1
62337080,0
26865893,0
4775887,1
81181832,1
9688107,0
69909483,1
36444703,0
81294046,1
84580615,0
83729700,0
40034321,1
11267999,0
16984655,1
98640445,0
47572617,1
20711131,0
16410393,0
54783576,0
12746283,0
92337108,0
74101940,1
50183949,1
78291801,0
14362107,0
33804848,0
85169712,0
79091959,1
69702084,0
49188073,1
79180109,1
33247582,1
99074102,0
6966209,1
86819230,0
12542015,0
11994958,0
36642100,0
21770327,1
23652302,0
73117800,1
52541358,0
37399762,1
35699164,0
23194817,0
15004238,1
29099060,0
31613863,0
59349430,0
68833534,1
71827865,1
52575122,0
45431782,1
75915257,1
26344467,1
91512720,1
61912590,0
35617442,0
5808030,1
39653282,0
76804274,0
41600750,0
32718661,0
91330600,1
99048480,1
48156344,1
61799579,0
48655419,0
80288115,0
36611764,0
46653901,0
49078030,1
85572010,0
21928402,0
21153587,1
6022714,1
9055616,0
55923386,0
76149190,1
35819316,0
23147675,0
99999680,1
52267133,1
9211054,1
96819546,0
47765941,1
35640160,0
39262084,1
63254157,1
73215364,0
76563396,0
6915116,0
86305054,1
12239681,1
80600060,1
99836889,1
72446283,0
48857176,0
22199923,1
62735787,0
60808677,1
26996112,0
69131449,1
26392084,0
56309305,0
19158728,1
52597818,1
25460787,0
86719987,0
44965738,0
5418695,0
571978,1
44848119,1
41993000,0
84282939,0
82312406,0
28550386,0
68257594,0
96734400,0
25446500,0
48285503,0
50155612,1
91973819,1
60708146,0
70475688,0
97631974,0
58615216,1
14548818,0
97513532,0
45723574,1
41750378,1
77277302,1
55804409,1
85068765,0
85745529,1
69487700,0
47994079,0
89608665,0
3075545,0
46416045,0
44124460,0
17670150,1
5128692,0
30334335,1
1394168,1
66572743,0
10774706,1
27813466,0
39944012,0
75825876,0
94968016,1
22954574,0
85886762,0
70610300,0
26529456,0
69685927,0
90009918,0
54424754,1
16393345,1
21019874,1
16395398,0
72430723,1
53253983,0
34757571,1
80378441,0
60384959,1
31385,0
79234235,1
89473077,1
41326260,0
31625291,1
70668898,1
62745906,1
32087727,0
82950081,0
44953616,0
82382602,1
80229606,1
13389616,0
14212610,0
69859713,0
52084036,0
547551,1
57945406,1
22669958,1
48434170,1
25174482,0
33455666,0
73924399,1
42426678,1
9406402,1
68566919,0
9030676,1
50559876,1
93209091,0
67628722,1
87474247,1
31099458,0
92052392,1
66336866,0
63738439,0
99581668,0
65220358,1
96118953,0
49330434,0
70466873,1
85373071,1
89434545,1
15570959,0
91417170,0
34715212,0
19787819,1
27391443,0
85459902,0
83298429,0
9108377,1
54022699,0
71418107,0
71083746,1
5030826,1
99225265,0
50940,0
71996109,1
45148188,0
49288762,0
94820148,0
27116193,1
54518053,1
98800312,1
90885347,1
16862454,1
5307689,0
37863592,0
11349383,0
41980781,1
4077097,0
34157582,0
44391595,0
62713498,0
73599818,0
86416983,1
71979180,1
21580278,1
7292705,1
43756578,0
25646885,1
9978856,0
44963302,1
75050874,0
23446972,1
4641952,0
15621179,1
69573049,0
94671654,0
8318445,1
7771402,0
79751608,1
53602776,1
62106307,1
45437793,0
31096798,0
86009970,1
98949813,0
51365148,0
86037173,0
51619523,1
71627415,0
44308350,0
17661325,0
33175070,0
90286964,1
56515142,0
48629324,0
15515571,0
82454158,1
84712006,0
11627221,1
44632666,0
81296606,0
73125353,0
22000295,1
24224910,1
70495971,1
53979285,1
39122979,0
22972994,0
79027525,1
40322205,0
42145577,1
68393589,0
3467492,0
44029891,0
64196239,0
43941597,0
43261387,1
80345852,0
1579633,0
58841091,1
64075663,0
84883063,1
36187587,1
65477485,0
63934272,1
23859872,0
16662809,0
79534606,1
